,Name,Gender,Marital_Status,Occupation,Monthly_Income,Educational_Qualifications,Family_size,Store,Pin_code,Contact_Medium,Phone_Number,Email_ID
0,Varuna,Male,Married,Student,10000,Ph.D,3,s5,560098,E-mail,8599335698,Varuna@gmail.com
1,Vaikunthanatha,Female,Married,House_wife,50000,Uneducated,3,s4,560006,WhatsApp,4396864854,Vaikunthanatha@gmail.com
2,Veda,Male,Married,House_wife,10000,Post_Graduate,5,s4,560015,WhatsApp,6754997673,Veda@gmail.com
3,Kughen,Male,Single,Employee,50000,Post_Graduate,1,s5,560002,E-mail,7694977448,Kughen@gmail.com
4,Prabhavathy,Female,Single,Employee,5000,Post_Graduate,6,s3,560075,E-mail,3396998354,Prabhavathy@gmail.com
5,Yathusara,Male,Married,Employee,50000,Graduate,6,s3,560066,E-mail,4566344579,Yathusara@gmail.com
6,Logeshwaran,Male,Single,Student,50000,School,6,s5,560059,E-mail,5456455669,Logeshwaran@gmail.com
7,Leyonan,Male,Single,Employee,25000,Graduate,3,s2,560043,E-mail,7936554634,Leyonan@gmail.com
8,Devika,Male,Married,Student,5000,Ph.D,2,s4,560041,E-mail,8459988654,Devika@gmail.com
9,Labdhi,Male,Single,Employee,5000,Ph.D,1,s5,560012,WhatsApp,4346447587,Labdhi@gmail.com
10,Yajus,Female,Single,Employee,25000,Graduate,6,s4,560080,E-mail,3465684373,Yajus@gmail.com
11,Tharmini,Female,Married,House_wife,50000,School,2,s3,560068,E-mail,3539899389,Tharmini@gmail.com
12,Veyashnna,Female,Single,Student,5000,Graduate,3,s3,560092,E-mail,8496438397,Veyashnna@gmail.com
13,Manikandaraj,Female,Single,Student,5000,Uneducated,2,s3,560064,WhatsApp,7897633647,Manikandaraj@gmail.com
14,Manojkiran,Female,Single,Student,50000,School,6,s4,560043,WhatsApp,6469754937,Manojkiran@gmail.com
15,Pathuman,Female,Single,Student,25000,Ph.D,2,s1,560068,WhatsApp,3799987689,Pathuman@gmail.com
16,Lavitra,Female,Single,Employee,25000,Uneducated,1,s3,560012,E-mail,9679435957,Lavitra@gmail.com
17,Rajavalli,Female,Married,Employee,5000,Uneducated,5,s1,560047,WhatsApp,3949743637,Rajavalli@gmail.com
18,Vaishaly,Male,Married,House_wife,5000,Uneducated,4,s2,560010,E-mail,8885399547,Vaishaly@gmail.com
19,Vijayabharathi,Female,Single,Student,5000,Ph.D,6,s1,560064,WhatsApp,7664899473,Vijayabharathi@gmail.com
20,Hary,Female,Single,Student,50000,Post_Graduate,3,s1,560064,E-mail,5746999684,Hary@gmail.com
21,Rukshvanth,Male,Married,Employee,25000,School,5,s4,560050,WhatsApp,8448596633,Rukshvanth@gmail.com
22,Akemya,Female,Single,Employee,5000,School,2,s1,560017,E-mail,7973973577,Akemya@gmail.com
