,cuid,name,curr_plans,talktime,data,sms,Broadband,speed,plan_satisfaction,date_of_pur,ph_no,email_Id,income,door_no,street,city,zipcode,state,area,contact_preference
1,675579,,1499,,27,,250,150,8,2013-12-27 05:59:16,3637968574,,7.5,,,,,,,Email
2,943105,,499,,8,,0,0,3,2004-06-03 14:01:48,9578737955,,10.0,,,,,,,WhatsApp
3,293369,,499,,8,,0,0,7,2013-09-21 08:14:32,3595566466,,15.0,,,,,,,Email
4,888058,,1299,,20,,150,100,5,2015-04-16 01:19:12,5473873788,,21.0,,,,,,,Email
5,961453,,999,,15,,90,50,7,2020-10-23 14:30:10,6494396657,,4.6,,,,,,,Email
6,149783,,1299,,20,,150,100,4,2019-11-16 06:56:02,8967793686,,3.5,,,,,,,Email
7,168433,,1499,,27,,250,150,5,2009-04-13 20:10:26,6464556675,,10.0,,,,,,,Email
8,666132,,999,,15,,90,50,5,2018-05-06 00:05:28,8569338389,,15.0,,,,,,,call
9,469887,,199,,3,,0,0,3,2001-11-16 05:59:07,6893535348,,5.5,,,,,,,Email
10,382411,,199,,3,,0,0,9,2016-11-27 05:00:19,5536889966,,10.0,,,,,,,WhatsApp
11,605291,,999,,15,,90,50,9,2009-01-16 20:37:37,6493599795,,15.0,,,,,,,Email
12,678389,,499,,8,,0,0,1,2013-07-27 15:17:09,6677844837,,0.0,,,,,,,WhatsApp
13,962022,,199,,3,,0,0,4,2019-12-03 15:55:46,6465394657,,4.6,,,,,,,WhatsApp
14,757240,,699,,12,,50,30,10,2021-07-02 19:18:51,3939384557,,15.0,,,,,,,Email
15,271406,,199,,3,,0,0,8,2016-05-18 15:23:57,7634974693,,15.0,,,,,,,Email
16,918608,,199,,3,,0,0,5,2003-02-17 06:40:11,3894747987,,7.5,,,,,,,Email
17,707150,,1499,,27,,250,150,7,2018-01-14 18:12:52,9587563643,,5.5,,,,,,,call
18,107205,,999,,15,,90,50,8,2011-11-03 03:28:50,7769678556,,15.0,,,,,,,call
19,500551,,1499,,27,,250,150,8,2001-07-08 16:36:47,5839647569,,3.5,,,,,,,Email
20,579893,,699,,12,,50,30,8,2000-12-29 04:57:42,7884848758,,3.5,,,,,,,WhatsApp
21,814788,,699,,12,,50,30,4,2006-04-16 06:25:17,6479868687,,4.6,,,,,,,WhatsApp
22,475786,,1299,,20,,150,100,1,2021-12-02 19:26:39,3744578557,,10.0,,,,,,,Email
23,873966,,1499,,27,,250,150,6,2010-01-19 01:50:09,5656589754,,0.0,,,,,,,call
24,677122,,1299,,20,,150,100,5,2014-02-22 17:07:02,9899966794,,4.6,,,,,,,Email
25,327876,,299,,5,,0,0,3,2009-09-04 13:05:00,4356796887,,5.5,,,,,,,WhatsApp
26,186285,,1499,,27,,250,150,8,2015-06-27 14:35:24,6746658839,,5.5,,,,,,,Email
27,567056,,199,,3,,0,0,6,2000-12-16 03:54:30,7454497368,,3.5,,,,,,,Email
28,725400,,499,,8,,0,0,4,2002-12-04 15:03:09,7737736568,,0.0,,,,,,,Email
29,596918,,1499,,27,,250,150,8,2005-09-18 02:48:48,4548897639,,15.0,,,,,,,WhatsApp
30,563633,,1499,,27,,250,150,1,2018-10-06 22:10:14,9993957389,,7.5,,,,,,,Email
31,882200,,699,,12,,50,30,5,2003-08-30 15:11:28,9947987898,,5.5,,,,,,,WhatsApp
32,903657,,1299,,20,,150,100,2,2016-06-11 10:52:46,6554355974,,21.0,,,,,,,WhatsApp
33,619001,,199,,3,,0,0,9,2013-03-05 00:36:33,8348384555,,4.6,,,,,,,WhatsApp
34,243622,,1499,,27,,250,150,5,2013-03-01 00:54:59,4945398437,,3.5,,,,,,,WhatsApp
35,433493,,699,,12,,50,30,2,2001-04-15 22:11:00,9687977867,,15.0,,,,,,,WhatsApp
36,714926,,499,,8,,0,0,5,2015-04-15 01:04:57,7758967673,,5.5,,,,,,,WhatsApp
37,830089,,1499,,27,,250,150,5,2010-12-09 08:14:53,4978534968,,7.5,,,,,,,WhatsApp
38,902111,,1299,,20,,150,100,8,2012-02-01 03:06:18,3366567643,,10.0,,,,,,,WhatsApp
39,449032,,299,,5,,0,0,3,2005-12-25 15:11:54,6594564769,,21.0,,,,,,,Email
40,254112,,999,,15,,90,50,5,2015-11-25 03:17:32,7474453997,,15.0,,,,,,,Email
41,185612,,199,,3,,0,0,8,2019-04-28 07:24:00,6489796579,,10.0,,,,,,,Email
42,395283,,299,,5,,0,0,2,2009-12-22 16:46:38,4366589943,,4.6,,,,,,,Email
43,263343,,1299,,20,,150,100,5,2011-02-10 03:48:32,9594634587,,7.5,,,,,,,Email
44,545065,,699,,12,,50,30,4,2001-09-30 17:44:10,5873559939,,3.5,,,,,,,call
45,845630,,199,,3,,0,0,4,2001-05-03 21:15:37,8675947794,,4.6,,,,,,,WhatsApp
46,883193,,699,,12,,50,30,8,2006-08-06 02:17:27,6396594648,,7.5,,,,,,,WhatsApp
47,462383,,999,,15,,90,50,3,2018-09-13 04:29:45,4443563696,,4.6,,,,,,,WhatsApp
48,215088,,299,,5,,0,0,2,2009-08-06 10:53:29,6689389544,,3.5,,,,,,,call
49,843347,,499,,8,,0,0,10,2009-09-20 20:53:42,7447384638,,4.6,,,,,,,call
50,580370,,699,,12,,50,30,9,2000-11-20 20:34:28,4835596343,,7.5,,,,,,,call
51,920018,,499,,8,,0,0,8,2016-01-28 05:11:22,5388589344,,10.0,,,,,,,call
52,688392,,199,,3,,0,0,4,2018-04-09 12:12:45,3849797577,,3.5,,,,,,,call
53,448250,,999,,15,,90,50,4,2003-04-05 18:58:05,7578368885,,10.0,,,,,,,WhatsApp
54,163591,,299,,5,,0,0,5,2010-08-03 10:20:28,7989763387,,3.5,,,,,,,call
55,530082,,699,,12,,50,30,2,2011-04-09 18:19:24,8394769656,,4.6,,,,,,,WhatsApp
56,487885,,699,,12,,50,30,3,2020-03-26 11:54:16,8874796976,,21.0,,,,,,,WhatsApp
57,905512,,999,,15,,90,50,8,2020-07-15 21:53:08,5969663639,,3.5,,,,,,,Email
58,492964,,699,,12,,50,30,7,2008-10-17 09:57:35,4363686334,,15.0,,,,,,,WhatsApp
